Number: 61, Name: C#, Octave: 4, Note: C#4, Start: 19380, End: 19747, Duration: 367, Channel: 0
Number: 64, Name: E, Octave: 4, Note: E4, Start: 19573, End: 19756, Duration: 183, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 19767, End: 19950, Duration: 183, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 19960, End: 20098, Duration: 138, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 20106, End: 20151, Duration: 45, Channel: 0
Number: 76, Name: E, Octave: 5, Note: E5, Start: 20154, End: 20337, Duration: 183, Channel: 0
Number: 74, Name: D, Octave: 5, Note: D5, Start: 20348, End: 20531, Duration: 183, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 20541, End: 20724, Duration: 183, Channel: 0
Number: 71, Name: B, Octave: 4, Note: B4, Start: 20735, End: 20918, Duration: 183, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 20928, End: 21111, Duration: 183, Channel: 0
Number: 69, Name: A, Octave: 4, Note: A4, Start: 21122, End: 21305, Duration: 183, Channel: 0
Number: 76, Name: E, Octave: 5, Note: E5, Start: 21315, End: 21498, Duration: 183, Channel: 0
Number: 83, Name: B, Octave: 5, Note: B5, Start: 21509, End: 21692, Duration: 183, Channel: 0
Number: 81, Name: A, Octave: 5, Note: A5, Start: 21702, End: 21885, Duration: 183, Channel: 0
Number: 80, Name: G#, Octave: 5, Note: G#5, Start: 21896, End: 22079, Duration: 183, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 22090, End: 22273, Duration: 183, Channel: 0
Number: 80, Name: G#, Octave: 5, Note: G#5, Start: 22283, End: 22420, Duration: 137, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 22428, End: 22748, Duration: 320, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 22452, End: 22750, Duration: 298, Channel: 0
Number: 85, Name: C#, Octave: 6, Note: C#6, Start: 22477, End: 22752, Duration: 275, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 22767, End: 22858, Duration: 91, Channel: 0
Number: 77, Name: F, Octave: 5, Note: F5, Start: 22864, End: 23047, Duration: 183, Channel: 0
Number: 85, Name: C#, Octave: 6, Note: C#6, Start: 22864, End: 23047, Duration: 183, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 23057, End: 23240, Duration: 183, Channel: 0
Number: 69, Name: A, Octave: 4, Note: A4, Start: 23251, End: 23985, Duration: 734, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 23251, End: 23985, Duration: 734, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 23251, End: 23985, Duration: 734, Channel: 0
Number: 70, Name: A#, Octave: 4, Note: A#4, Start: 24025, End: 24576, Duration: 551, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 24025, End: 24576, Duration: 551, Channel: 0
Number: 79, Name: G, Octave: 5, Note: G5, Start: 24025, End: 24576, Duration: 551, Channel: 0
Number: 70, Name: A#, Octave: 4, Note: A#4, Start: 24606, End: 24789, Duration: 183, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 24606, End: 24789, Duration: 183, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 24606, End: 24789, Duration: 183, Channel: 0
Number: 66, Name: F#, Octave: 4, Note: F#4, Start: 24799, End: 24982, Duration: 183, Channel: 0
Number: 69, Name: A, Octave: 4, Note: A4, Start: 24799, End: 24982, Duration: 183, Channel: 0
Number: 76, Name: E, Octave: 5, Note: E5, Start: 24799, End: 24982, Duration: 183, Channel: 0
Number: 62, Name: D, Octave: 4, Note: D4, Start: 24993, End: 25084, Duration: 91, Channel: 0
Number: 69, Name: A, Octave: 4, Note: A4, Start: 25090, End: 25181, Duration: 91, Channel: 0
Number: 74, Name: D, Octave: 5, Note: D5, Start: 25186, End: 25369, Duration: 183, Channel: 0
Number: 66, Name: F#, Octave: 4, Note: F#4, Start: 25380, End: 25563, Duration: 183, Channel: 0
Number: 61, Name: C#, Octave: 4, Note: C#4, Start: 25573, End: 25700, Duration: 127, Channel: 0
Number: 66, Name: F#, Octave: 4, Note: F#4, Start: 25573, End: 25700, Duration: 127, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 25573, End: 25700, Duration: 127, Channel: 0
Number: 65, Name: F, Octave: 4, Note: F4, Start: 25960, End: 26327, Duration: 367, Channel: 0
Number: 71, Name: B, Octave: 4, Note: B4, Start: 25960, End: 26327, Duration: 367, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 25960, End: 26327, Duration: 367, Channel: 0
Number: 54, Name: F#, Octave: 3, Note: F#3, Start: 26348, End: 26623, Duration: 275, Channel: 0
Number: 57, Name: A, Octave: 3, Note: A3, Start: 26348, End: 26623, Duration: 275, Channel: 0
Number: 61, Name: C#, Octave: 4, Note: C#4, Start: 26348, End: 26623, Duration: 275, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 26638, End: 26729, Duration: 91, Channel: 0
Number: 85, Name: C#, Octave: 6, Note: C#6, Start: 26638, End: 26729, Duration: 91, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 26735, End: 27102, Duration: 367, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 26735, End: 27102, Duration: 367, Channel: 0
Number: 85, Name: C#, Octave: 6, Note: C#6, Start: 26735, End: 27102, Duration: 367, Channel: 0
Number: 54, Name: F#, Octave: 3, Note: F#3, Start: 27122, End: 27397, Duration: 275, Channel: 0
Number: 56, Name: G#, Octave: 3, Note: G#3, Start: 27122, End: 27397, Duration: 275, Channel: 0
Number: 59, Name: B, Octave: 3, Note: B3, Start: 27122, End: 27397, Duration: 275, Channel: 0
Number: 62, Name: D, Octave: 4, Note: D4, Start: 27122, End: 27397, Duration: 275, Channel: 0
Number: 74, Name: D, Octave: 5, Note: D5, Start: 27412, End: 27503, Duration: 91, Channel: 0
Number: 86, Name: D, Octave: 6, Note: D6, Start: 27412, End: 27503, Duration: 91, Channel: 0
Number: 74, Name: D, Octave: 5, Note: D5, Start: 27509, End: 27876, Duration: 367, Channel: 0
Number: 80, Name: G#, Octave: 5, Note: G#5, Start: 27509, End: 27876, Duration: 367, Channel: 0
Number: 86, Name: D, Octave: 6, Note: D6, Start: 27509, End: 27876, Duration: 367, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 27896, End: 28140, Duration: 244, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 27896, End: 28140, Duration: 244, Channel: 0
Number: 85, Name: C#, Octave: 6, Note: C#6, Start: 27896, End: 28140, Duration: 244, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 28154, End: 28215, Duration: 61, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 28219, End: 28279, Duration: 60, Channel: 0
Number: 71, Name: B, Octave: 4, Note: B4, Start: 28283, End: 28379, Duration: 96, Channel: 0
Number: 77, Name: F, Octave: 5, Note: F5, Start: 28283, End: 28379, Duration: 96, Channel: 0
Number: 81, Name: A, Octave: 5, Note: A5, Start: 28283, End: 28379, Duration: 96, Channel: 0
Number: 71, Name: B, Octave: 4, Note: B4, Start: 28477, End: 28573, Duration: 96, Channel: 0
Number: 77, Name: F, Octave: 5, Note: F5, Start: 28477, End: 28573, Duration: 96, Channel: 0
Number: 69, Name: A, Octave: 4, Note: A4, Start: 28670, End: 28853, Duration: 183, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 28670, End: 28853, Duration: 183, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 28670, End: 28853, Duration: 183, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 28961, End: 29148, Duration: 187, Channel: 0
Number: 81, Name: A, Octave: 5, Note: A5, Start: 28993, End: 29150, Duration: 157, Channel: 0
Number: 85, Name: C#, Octave: 6, Note: C#6, Start: 29025, End: 29152, Duration: 127, Channel: 0
Number: 90, Name: F#, Octave: 6, Note: F#6, Start: 29057, End: 29153, Duration: 96, Channel: 0
Number: 92, Name: G#, Octave: 6, Note: G#6, Start: 29251, End: 29347, Duration: 96, Channel: 0
Number: 85, Name: C#, Octave: 6, Note: C#6, Start: 29444, End: 29627, Duration: 183, Channel: 0
Number: 93, Name: A, Octave: 6, Note: A6, Start: 29444, End: 29627, Duration: 183, Channel: 0
Number: 81, Name: A, Octave: 5, Note: A5, Start: 29638, End: 29821, Duration: 183, Channel: 0
Number: 85, Name: C#, Octave: 6, Note: C#6, Start: 29831, End: 30015, Duration: 184, Channel: 0
Number: 93, Name: A, Octave: 6, Note: A6, Start: 30025, End: 30208, Duration: 183, Channel: 0
Number: 86, Name: D, Octave: 6, Note: D6, Start: 30219, End: 30402, Duration: 183, Channel: 0
Number: 92, Name: G#, Octave: 6, Note: G#6, Start: 30219, End: 30402, Duration: 183, Channel: 0
Number: 83, Name: B, Octave: 5, Note: B5, Start: 30412, End: 30595, Duration: 183, Channel: 0
Number: 86, Name: D, Octave: 6, Note: D6, Start: 30606, End: 30789, Duration: 183, Channel: 0
Number: 92, Name: G#, Octave: 6, Note: G#6, Start: 30799, End: 30982, Duration: 183, Channel: 0
Number: 81, Name: A, Octave: 5, Note: A5, Start: 30993, End: 31176, Duration: 183, Channel: 0
Number: 90, Name: F#, Octave: 6, Note: F#6, Start: 30993, End: 31176, Duration: 183, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 31186, End: 31369, Duration: 183, Channel: 0
Number: 81, Name: A, Octave: 5, Note: A5, Start: 31380, End: 31563, Duration: 183, Channel: 0
Number: 88, Name: E, Octave: 6, Note: E6, Start: 31573, End: 31756, Duration: 183, Channel: 0
Number: 81, Name: A, Octave: 5, Note: A5, Start: 31767, End: 31950, Duration: 183, Channel: 0
Number: 86, Name: D, Octave: 6, Note: D6, Start: 31767, End: 31950, Duration: 183, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 31961, End: 32144, Duration: 183, Channel: 0
Number: 81, Name: A, Octave: 5, Note: A5, Start: 32154, End: 32337, Duration: 183, Channel: 0
Number: 86, Name: D, Octave: 6, Note: D6, Start: 32348, End: 32531, Duration: 183, Channel: 0
Number: 85, Name: C#, Octave: 6, Note: C#6, Start: 32541, End: 32908, Duration: 367, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 32928, End: 33203, Duration: 275, Channel: 0
Number: 77, Name: F, Octave: 5, Note: F5, Start: 33219, End: 33654, Duration: 435, Channel: 0
Number: 80, Name: G#, Octave: 5, Note: G#5, Start: 33267, End: 33656, Duration: 389, Channel: 0
Number: 85, Name: C#, Octave: 6, Note: C#6, Start: 33315, End: 33659, Duration: 344, Channel: 0
Number: 71, Name: B, Octave: 4, Note: B4, Start: 33678, End: 33884, Duration: 206, Channel: 0
Number: 81, Name: A, Octave: 5, Note: A5, Start: 33702, End: 33886, Duration: 184, Channel: 0
Number: 80, Name: G#, Octave: 5, Note: G#5, Start: 33896, End: 34079, Duration: 183, Channel: 0
Number: 69, Name: A, Octave: 4, Note: A4, Start: 34090, End: 34282, Duration: 192, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 34090, End: 34282, Duration: 192, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 34090, End: 34282, Duration: 192, Channel: 0
Number: 65, Name: F, Octave: 4, Note: F4, Start: 35251, End: 35377, Duration: 126, Channel: 0
Number: 71, Name: B, Octave: 4, Note: B4, Start: 35251, End: 35377, Duration: 126, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 35251, End: 35377, Duration: 126, Channel: 0
Number: 61, Name: C#, Octave: 4, Note: C#4, Start: 35638, End: 35765, Duration: 127, Channel: 0
Number: 69, Name: A, Octave: 4, Note: A4, Start: 35638, End: 35765, Duration: 127, Channel: 0
Number: 64, Name: E, Octave: 4, Note: E4, Start: 36025, End: 36152, Duration: 127, Channel: 0
Number: 71, Name: B, Octave: 4, Note: B4, Start: 36025, End: 36152, Duration: 127, Channel: 0
Number: 64, Name: E, Octave: 4, Note: E4, Start: 36412, End: 36779, Duration: 367, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 36412, End: 36779, Duration: 367, Channel: 0
Number: 69, Name: A, Octave: 4, Note: A4, Start: 36799, End: 36982, Duration: 183, Channel: 0
Number: 76, Name: E, Octave: 5, Note: E5, Start: 36993, End: 37130, Duration: 137, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 37138, End: 37183, Duration: 45, Channel: 0
Number: 66, Name: F#, Octave: 4, Note: F#4, Start: 37186, End: 37379, Duration: 193, Channel: 0
Number: 71, Name: B, Octave: 4, Note: B4, Start: 37186, End: 37379, Duration: 193, Channel: 0
Number: 76, Name: E, Octave: 5, Note: E5, Start: 37186, End: 37379, Duration: 193, Channel: 0
Number: 74, Name: D, Octave: 5, Note: D5, Start: 37380, End: 37476, Duration: 96, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 37573, End: 37669, Duration: 96, Channel: 0
Number: 71, Name: B, Octave: 4, Note: B4, Start: 37767, End: 37863, Duration: 96, Channel: 0
Number: 61, Name: C#, Octave: 4, Note: C#4, Start: 37961, End: 38153, Duration: 192, Channel: 0
Number: 66, Name: F#, Octave: 4, Note: F#4, Start: 37961, End: 38153, Duration: 192, Channel: 0
Number: 69, Name: A, Octave: 4, Note: A4, Start: 37961, End: 38153, Duration: 192, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 37961, End: 38153, Duration: 192, Channel: 0
Number: 66, Name: F#, Octave: 4, Note: F#4, Start: 38348, End: 38531, Duration: 183, Channel: 0
